# format: v1
# Proxies that opened a TLS tunnel to raw.githubusercontent.com:443 and returned
# sixteen bytes of subs/all.txt, within 8 seconds. Nothing else qualifies.
#
# Regenerated 2026-08-10T21:10:22Z · 263 entries
# Density: 115/266 of a random sample worked on re-check (43%, measured 2026-08-10) — the file's only real quality score.
#
# Format: scheme://host:port | country | ms | days-alive
# Everything after the first space or | is ignored by the client, so this is safe.
#

http://143.198.87.117:8888 | ?? | 3718ms | 1d
http://144.178.199.118:8443 | ?? | 765ms | 1d
http://146.196.40.165:8080 | ?? | 4355ms | 1d
http://147.45.166.120:3333 | ?? | 1615ms | 1d
http://152.42.167.241:3128 | ?? | 2843ms | 1d
http://152.53.20.190:20000 | ?? | 3659ms | 1d
http://153.80.240.37:8080 | ?? | 1770ms | 1d
http://154.18.255.25:1111 | ?? | 3865ms | 1d
http://154.126.213.152:8070 | ?? | 4781ms | 1d
http://159.195.49.27:8888 | ?? | 1881ms | 1d
http://160.22.134.47:1111 | ?? | 3835ms | 1d
http://160.179.53.231:3129 | ?? | 1960ms | 1d
http://163.181.207.214:9999 | ?? | 1868ms | 1d
http://163.181.207.230:9999 | ?? | 1385ms | 1d
http://163.227.146.38:8080 | ?? | 2720ms | 1d
http://164.163.73.5:999 | ?? | 4616ms | 1d
http://165.154.162.73:8888 | ?? | 3669ms | 1d
http://167.86.126.27:3128 | ?? | 2565ms | 1d
http://169.58.85.194:8080 | ?? | 2480ms | 1d
http://172.110.220.36:3128 | ?? | 1316ms | 1d
http://175.136.239.173:8181 | ?? | 3552ms | 1d
http://175.136.239.174:8181 | ?? | 3103ms | 1d
http://175.139.255.25:8181 | ?? | 2306ms | 1d
http://175.143.76.177:8181 | ?? | 2203ms | 1d
http://176.111.37.5:39811 | ?? | 930ms | 1d
http://176.111.37.216:39811 | ?? | 914ms | 1d
http://176.120.28.106:8080 | ?? | 3212ms | 1d
http://177.139.174.81:8080 | ?? | 5006ms | 1d
http://178.252.180.59:10909 | ?? | 3538ms | 1d
http://180.211.93.91:8080 | ?? | 5228ms | 1d
http://181.39.25.196:8118 | ?? | 2380ms | 1d
http://181.78.94.23:9991 | ?? | 5489ms | 1d
http://181.78.195.137:999 | ?? | 6985ms | 1d
http://181.225.107.53:999 | ?? | 3113ms | 1d
http://185.191.106.0:8081 | ?? | 4919ms | 1d
http://185.200.188.234:10001 | ?? | 1604ms | 1d
http://186.5.94.216:999 | ?? | 7352ms | 1d
http://186.10.150.112:8080 | ?? | 3841ms | 1d
http://186.33.3.209:999 | ?? | 5509ms | 1d
http://188.217.172.202:8080 | ?? | 5049ms | 1d
http://190.0.246.211:4040 | ?? | 1953ms | 1d
http://195.133.14.222:49152 | ?? | 1078ms | 1d
http://200.35.34.134:999 | ?? | 5468ms | 1d
http://200.59.191.100:999 | ?? | 6665ms | 1d
http://202.28.194.139:31280 | ?? | 4568ms | 1d
http://202.52.48.42:4444 | ?? | 2494ms | 1d
http://202.58.77.214:8080 | ?? | 2621ms | 1d
http://204.76.203.9:3128 | ?? | 736ms | 1d
http://210.131.214.36:80 | ?? | 3417ms | 1d
http://210.201.86.72:8080 | ?? | 6625ms | 1d
http://216.106.179.216:49497 | ?? | 6688ms | 1d
http://216.106.182.177:3128 | ?? | 2416ms | 1d
http://219.142.66.244:9090 | ?? | 1863ms | 1d
socks4://45.61.129.165:9050 | ?? | 3139ms | 1d
socks4://45.95.232.35:1080 | ?? | 2020ms | 1d
socks4://47.251.127.154:1080 | ?? | 5481ms | 1d
socks4://66.163.127.204:10006 | ?? | 2248ms | 1d
socks4://77.72.18.253:9080 | ?? | 958ms | 1d
socks4://89.169.168.25:6101 | ?? | 1935ms | 1d
socks4://95.85.233.144:18443 | ?? | 1094ms | 1d
socks4://185.171.83.65:49153 | ?? | 3840ms | 1d
socks4://194.62.52.29:9050 | ?? | 7162ms | 1d
socks4://216.106.179.216:49153 | ?? | 5499ms | 1d
socks4://216.106.179.216:49252 | ?? | 6957ms | 1d
socks4://216.106.179.216:49430 | ?? | 2027ms | 1d
socks4://216.106.179.216:49479 | ?? | 5923ms | 1d
socks5://5.78.44.212:1080 | ?? | 4609ms | 1d
socks5://5.230.201.154:1080 | ?? | 6416ms | 1d
socks5://8.215.25.3:2080 | ?? | 1444ms | 1d
socks5://37.18.73.60:5566 | ?? | 2050ms | 1d
socks5://38.49.210.79:40000 | ?? | 1726ms | 1d
socks5://38.76.215.92:1080 | ?? | 3854ms | 1d
socks5://43.134.58.45:1080 | ?? | 4260ms | 1d
socks5://43.156.84.41:10808 | ?? | 1662ms | 1d
socks5://43.162.94.99:1080 | ?? | 4019ms | 1d
socks5://43.163.122.46:8080 | ?? | 7102ms | 1d
socks5://43.163.219.10:20000 | ?? | 2612ms | 1d
socks5://43.164.136.189:1080 | ?? | 5778ms | 1d
socks5://45.40.136.39:45741 | ?? | 2234ms | 1d
socks5://45.43.63.37:10808 | ?? | 2621ms | 1d
socks5://45.74.178.43:9091 | ?? | 2563ms | 1d
socks5://45.137.43.0:1081 | ?? | 589ms | 1d
socks5://45.144.54.40:1080 | ?? | 1401ms | 1d
socks5://47.75.116.41:10800 | ?? | 2341ms | 1d
socks5://47.85.195.135:1080 | ?? | 3800ms | 1d
socks5://47.236.177.236:1080 | ?? | 6950ms | 1d
socks5://47.250.211.53:1080 | ?? | 2798ms | 1d
socks5://51.159.97.242:10006 | ?? | 7432ms | 1d
socks5://51.222.104.72:1080 | ?? | 6494ms | 1d
socks5://58.186.168.155:1081 | ?? | 2690ms | 1d
socks5://59.38.113.185:20000 | ?? | 1697ms | 1d
socks5://62.113.113.114:1080 | ?? | 3032ms | 1d
socks5://66.163.118.99:10006 | ?? | 1008ms | 1d
socks5://66.163.119.55:10006 | ?? | 5893ms | 1d
socks5://69.55.49.177:38182 | ?? | 2589ms | 1d
socks5://77.50.235.130:1080 | ?? | 7693ms | 1d
socks5://85.122.120.119:30016 | ?? | 1186ms | 1d
socks5://92.118.234.124:1080 | ?? | 6014ms | 1d
socks5://95.181.213.41:10808 | ?? | 6536ms | 1d
socks5://101.36.104.46:10808 | ?? | 4406ms | 1d
socks5://101.36.104.239:10808 | ?? | 2801ms | 1d
socks5://103.6.235.13:5555 | ?? | 1830ms | 1d
socks5://103.45.245.39:1080 | ?? | 1136ms | 1d
socks5://103.151.74.29:2025 | ?? | 3446ms | 1d
socks5://103.174.122.197:8199 | ?? | 2303ms | 1d
socks5://103.242.105.199:8199 | ?? | 2155ms | 1d
socks5://104.238.100.115:45314 | ?? | 4181ms | 1d
socks5://107.191.44.214:1081 | ?? | 3858ms | 1d
socks5://109.123.251.109:1080 | ?? | 1513ms | 1d
socks5://109.172.55.177:1082 | ?? | 2286ms | 1d
socks5://112.28.149.152:8443 | ?? | 3225ms | 1d
socks5://116.48.170.221:11000 | ?? | 5228ms | 1d
socks5://119.28.64.217:50161 | ?? | 2352ms | 1d
socks5://121.169.46.116:1090 | ?? | 4530ms | 1d
socks5://123.58.219.171:10808 | ?? | 6088ms | 1d
socks5://123.249.14.223:21677 | ?? | 1410ms | 1d
socks5://129.151.9.55:10808 | ?? | 2807ms | 1d
socks5://138.128.247.206:1080 | ?? | 1217ms | 1d
socks5://140.245.36.86:1080 | ?? | 3562ms | 1d
socks5://144.22.165.206:1088 | ?? | 3799ms | 1d
socks5://144.24.111.128:1088 | ?? | 5226ms | 1d
socks5://144.91.111.48:1088 | ?? | 1480ms | 1d
socks5://144.91.121.61:1088 | ?? | 3192ms | 1d
socks5://147.45.60.124:1082 | ?? | 3205ms | 1d
socks5://147.45.60.250:1082 | ?? | 4143ms | 1d
socks5://147.45.221.115:1082 | ?? | 1575ms | 1d
socks5://149.62.186.244:1080 | ?? | 1825ms | 1d
socks5://150.136.58.221:1080 | ?? | 3875ms | 1d
socks5://150.241.70.103:6666 | ?? | 6483ms | 1d
socks5://151.115.99.193:10006 | ?? | 1958ms | 1d
socks5://152.69.167.87:1080 | ?? | 7417ms | 1d
socks5://152.89.104.11:1080 | ?? | 3042ms | 1d
socks5://157.245.196.151:9090 | ?? | 3497ms | 1d
socks5://158.178.247.206:1080 | ?? | 7612ms | 1d
socks5://161.35.90.93:1081 | ?? | 5075ms | 1d
socks5://161.35.90.93:1082 | ?? | 2158ms | 1d
socks5://165.154.20.187:10808 | ?? | 6720ms | 1d
socks5://178.128.82.131:10808 | ?? | 2366ms | 1d
socks5://185.196.61.251:1080 | ?? | 5527ms | 1d
socks5://185.209.29.226:1080 | ?? | 3007ms | 1d
socks5://185.221.153.22:8443 | ?? | 3317ms | 1d
socks5://192.9.231.220:30001 | ?? | 3335ms | 1d
socks5://193.25.215.182:22222 | ?? | 1824ms | 1d
socks5://193.233.218.213:1080 | ?? | 1568ms | 1d
socks5://194.163.174.78:1084 | ?? | 1822ms | 1d
socks5://194.163.174.78:1085 | ?? | 2231ms | 1d
socks5://194.163.174.78:1088 | ?? | 1804ms | 1d
socks5://195.19.50.120:1080 | ?? | 2962ms | 1d
socks5://195.19.50.130:1080 | ?? | 5186ms | 1d
socks5://195.135.255.98:1080 | ?? | 668ms | 1d
socks5://202.43.165.140:10802 | ?? | 3222ms | 1d
socks5://202.62.62.113:1080 | ?? | 2345ms | 1d
socks5://203.189.150.44:1080 | ?? | 4527ms | 1d
socks5://211.162.68.57:1088 | ?? | 2318ms | 1d
socks5://212.58.132.5:1080 | ?? | 1970ms | 1d
socks5://213.136.92.91:1080 | ?? | 2723ms | 1d
